
2025/03/10 (15:15:14) | ===> btop++ v.1.4.0
2025/03/10 (15:15:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (15:17:10) | ===> btop++ v.1.4.0
2025/03/10 (15:17:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (15:18:55) | ===> btop++ v.1.4.0
2025/03/10 (15:18:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (15:20:18) | ===> btop++ v.1.4.0
2025/03/10 (15:20:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (15:20:49) | ===> btop++ v.1.4.0
2025/03/10 (15:20:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (15:25:06) | ===> btop++ v.1.4.0
2025/03/10 (15:25:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/10 (21:50:35) | ===> btop++ v.1.4.0
2025/03/10 (21:50:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
